Command: ,8.75T ,[mus] ,rpm ,rpm ,s1 ,mA , 
val ,err ,val ,err , 
365198222 ,5362.89 ,1.92 ,292.97 ,84.57 , 
365263868 ,5357.14 ,8.77 ,65.10 ,28.19 , 
365330986 ,5363.53 ,12.18 ,97.66 ,48.83 , 
365398146 ,5356.51 ,12.74 ,81.38 ,28.19 , 
365465314 ,5360.97 ,10.67 ,81.38 ,28.19 , 
365532434 ,5358.42 ,9.63 ,244.14 ,176.05 , 
365599600 ,5364.17 ,1.11 ,113.93 ,28.19 , 
365666736 ,5362.89 ,11.66 ,211.59 ,203.29 , 
365733896 ,5360.33 ,9.83 ,146.48 ,169.15 , 
365801014 ,5361.61 ,18.42 ,195.31 ,48.83 , 
365868158 ,5364.17 ,12.77 ,113.93 ,74.59 , 
365935324 ,5363.53 ,6.74 ,97.66 ,84.57 , 
366002426 ,5359.69 ,8.85 ,227.87 ,122.88 , 
366069622 ,5363.53 ,13.87 ,81.38 ,74.59 , 
366136738 ,5365.45 ,2.93 ,97.66 ,84.57 , 
366203850 ,5363.53 ,16.31 ,179.04 ,74.59 , 
366271042 ,5362.25 ,11.07 ,244.14 ,129.19 , 
366338214 ,5364.81 ,1.92 ,97.66 ,84.57 , 
366405298 ,5360.97 ,10.67 ,130.21 ,74.59 , 
366472482 ,5359.06 ,10.66 ,146.48 ,212.84 , 
366539642 ,5364.17 ,2.22 ,292.97 ,176.05 , 
366606792 ,5364.81 ,8.36 ,146.48 ,48.83 , 
366673870 ,5360.97 ,10.67 ,48.83 ,0.00 , 
366740836 ,5360.97 ,3.32 ,146.48 ,129.19 , 
366808206 ,5354.59 ,12.14 ,292.97 ,129.19 , 
366875370 ,5363.53 ,15.38 ,146.48 ,48.83 , 
366942462 ,5366.73 ,3.33 ,32.55 ,56.38 , 
367009560 ,5364.17 ,14.53 ,162.76 ,74.59 , 
367076772 ,5359.69 ,8.85 ,16.27 ,28.19 , 
367143872 ,5362.89 ,6.91 ,309.24 ,140.95 , 
367211062 ,5355.23 ,11.63 ,146.48 ,129.19 , 
367278226 ,5362.89 ,0.00 ,32.55 ,28.19 , 
367345176 ,5361.61 ,10.90 ,309.24 ,156.96 , 
367412538 ,5358.42 ,11.54 ,146.48 ,129.19 , 
367479676 ,5364.17 ,1.11 ,81.38 ,56.38 , 
367546788 ,5359.06 ,10.66 ,162.76 ,74.59 , 
367613962 ,5352.68 ,14.08 ,48.83 ,0.00 , 
367680892 ,5362.89 ,0.00 ,325.52 ,149.17 , 
367748128 ,5356.51 ,12.30 ,81.38 ,28.19 , 
